crashid,location,severity_rating5,intersection,alcohol_involved,hazmat_involved,hs_collision_type,crash_type,road_sys_code,road_horiz_align_code,road_grade_code,road_surf_code,surf_cond_code,light_cond_code,environ_cond_code,road_median_code,temp_traffic_zone,posted_speed,first_harmful_event,flg_cell_in_use
01-02-2017-1711-0730,ATLANTIC-ATLANTIC CITY,4,N,Y,N,1,13,7,3,4,2,1,7,1,5,1,25,22,N
01-02-2017-1712-0020,ATLANTIC-ATLANTIC CITY,4,N,Y,N,4,11,7,1,4,2,1,6,1,5,1,25,60,N
01-02-2017-1704-0828,ATLANTIC-ATLANTIC CITY,4,N,N,N,7,11,2,1,4,2,1,6,1,1,1,50,45,N
01-02-2017-1705-0445,ATLANTIC-ATLANTIC CITY,4,N,Y,N,4,11,2,1,4,2,2,6,2,1,1,50,52,N
01-02-2017-1707-1068,ATLANTIC-ATLANTIC CITY,4,Y,Y,N,7,11,7,1,4,2,2,2,2,5,1,25,52,N
01-02-2017-1710-1193,ATLANTIC-ATLANTIC CITY,4,N,N,N,7,11,7,1,4,2,1,6,1,5,1,25,26,N
01-02-2017-1709-0984,ATLANTIC-ATLANTIC CITY,4,Y,N,N,2,3,7,1,4,2,1,6,1,4,1,25,26,N
01-02-2017-1704-1028,ATLANTIC-ATLANTIC CITY,4,N,N,N,2,6,7,1,4,2,1,6,1,5,1,25,28,N
01-02-2017-1707-0176,ATLANTIC-ATLANTIC CITY,4,Y,N,N,2,13,7,1,4,2,1,1,1,5,1,25,22,N
01-02-2017-1703-0438,ATLANTIC-ATLANTIC CITY,4,Y,N,N,2,13,7,1,4,2,1,1,1,5,1,25,22,N
01-02-2017-1712-0778,ATLANTIC-ATLANTIC CITY,4,N,N,N,5,14,7,1,4,2,1,7,1,5,1,25,21,N
01-02-2017-1701-0347,ATLANTIC-ATLANTIC CITY,4,Y,N,N,1,13,7,1,4,2,1,3,1,4,1,25,26,N
01-04-2017-2017002839,ATLANTIC-BUENA BORO,5,N,N,N,4,11,5,2,4,2,1,6,1,5,1,45,,N
01-05-2017-A090-2017-00403A,ATLANTIC-BUENA VISTA TWP,4,Y,N,N,4,11,5,1,4,2,1,1,1,5,1,50,60,N
01-05-2017-A090-2017-00095A,ATLANTIC-BUENA VISTA TWP,4,N,N,N,1,13,5,1,4,2,1,5,1,5,1,50,22,N
01-05-2017-A090-2017-00213A,ATLANTIC-BUENA VISTA TWP,4,N,N,N,4,11,7,1,4,5,9,5,5,5,1,25,60,N
01-07-2017-2017008274,ATLANTIC-EGG HARBOR CITY,4,Y,N,N,2,1,5,1,4,2,1,1,1,5,1,50,26,N
01-08-2017-2017-00070756,ATLANTIC-EGG HARBOR TWP,4,N,N,N,2,3,5,2,4,2,1,6,1,1,1,45,26,N
01-08-2017-2017-00026979,ATLANTIC-EGG HARBOR TWP,4,N,N,N,2,7,5,3,4,2,1,6,1,5,1,45,26,N
01-08-2017-2017-00013643,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,11,5,1,4,2,1,7,1,5,1,50,56,N
01-08-2017-2017-00035708,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,11,7,1,4,2,1,5,1,5,1,35,60,N
01-08-2017-2017-00050376,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,11,2,1,4,2,1,1,1,5,1,45,56,N
01-08-2017-2017-00071890,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,1,13,2,1,4,2,1,7,1,5,1,45,22,N
01-08-2017-2017-00057741,ATLANTIC-EGG HARBOR TWP,5,N,N,N,1,13,2,1,4,2,1,7,1,3,1,45,26,N
01-08-2017-2017-00051066,ATLANTIC-EGG HARBOR TWP,5,Y,N,N,1,13,2,1,4,2,1,7,1,4,1,45,26,N
01-08-2017-2017-00001518,ATLANTIC-EGG HARBOR TWP,5,N,Y,N,4,4,2,3,4,2,1,5,1,2,1,45,26,N
01-08-2017-2017074499,ATLANTIC-EGG HARBOR TWP,5,Y,N,N,2,99,9,1,4,2,1,1,1,5,1,,22,N
01-08-2017-A160-2017-00319A,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,11,3,2,4,2,1,1,1,1,1,55,48,N
01-08-2017-2017073605,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,3,7,5,1,4,2,1,6,1,5,1,45,26,N
01-08-2017-2017-00031352,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,11,5,2,4,2,2,7,1,5,1,50,46,N
01-08-2017-2017-00015935,ATLANTIC-EGG HARBOR TWP,5,Y,Y,N,4,11,7,1,4,2,1,6,1,5,1,35,60,N
01-08-2017-2017-00035318,ATLANTIC-EGG HARBOR TWP,5,N,N,N,5,14,2,1,4,2,1,1,1,5,1,40,21,N
01-08-2017-2017-00058168,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,11,7,2,4,2,1,1,1,5,1,50,60,N
01-08-2017-2017-00015551,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,2,1,5,1,7,2,1,1,1,5,1,45,26,N
01-08-2017-2017-00068431,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,4,5,2,4,2,1,5,1,5,1,50,26,N
01-08-2017-A160-2017-00286A,ATLANTIC-EGG HARBOR TWP,4,N,N,N,7,11,3,1,4,2,1,5,1,1,1,65,48,N
01-08-2017-2017-00023193,ATLANTIC-EGG HARBOR TWP,5,N,Y,N,1,13,5,1,4,2,1,7,1,5,1,40,26,N
01-08-2017-2017-00063733,ATLANTIC-EGG HARBOR TWP,5,Y,N,N,4,3,5,3,4,2,2,1,2,5,1,50,26,N
01-08-2017-2017-00049847,ATLANTIC-EGG HARBOR TWP,4,N,N,N,1,13,2,1,4,2,2,1,2,2,1,50,22,N
01-08-2017-2017-00000706,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,1,13,5,1,5,2,1,6,1,5,1,40,22,N
01-08-2017-2017-00037205,ATLANTIC-EGG HARBOR TWP,5,N,Y,N,2,1,2,1,4,2,1,1,1,3,1,50,26,N
01-08-2017-2017-00014861,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,4,3,7,1,4,2,2,1,3,5,1,35,26,N
01-08-2017-2017-00032717,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,2,3,2,1,4,2,1,1,1,3,1,50,26,N
01-08-2017-2017-00002630,ATLANTIC-EGG HARBOR TWP,5,N,N,N,4,11,5,1,4,2,2,1,7,5,1,45,60,N
01-08-2017-2017-00043425,ATLANTIC-EGG HARBOR TWP,5,N,N,N,4,11,7,1,4,2,1,2,1,5,1,35,61,N
01-09-2017-A090-2017-00038A,ATLANTIC-ESTELL MANOR CITY,4,N,N,N,4,99,5,1,4,2,1,1,1,5,1,50,60,N
01-10-2017-A090-2017-00163A,ATLANTIC-FOLSOM BORO,4,N,N,N,1,13,2,1,4,2,1,5,1,4,1,50,22,N
01-10-2017-A090-2017-00042A,ATLANTIC-FOLSOM BORO,5,N,Y,N,4,13,2,1,4,2,1,7,1,4,1,55,22,N
01-10-2017-A090-2017-00231A,ATLANTIC-FOLSOM BORO,5,N,N,N,1,13,2,1,4,2,1,5,1,4,1,55,22,N
01-11-2017-2017-00025567,ATLANTIC-GALLOWAY TWP,4,N,N,N,1,13,2,1,4,2,1,,1,5,1,40,22,N
01-11-2017-2017-00021720,ATLANTIC-GALLOWAY TWP,5,N,N,N,4,11,5,1,4,2,1,1,1,5,1,50,26,N
01-11-2017-2017-00023734,ATLANTIC-GALLOWAY TWP,4,Y,N,N,2,7,5,1,4,2,1,7,1,,1,50,26,N
01-11-2017-2017-4666,ATLANTIC-GALLOWAY TWP,5,N,N,N,1,13,7,1,4,2,1,5,1,5,1,50,22,N
01-11-2017-2017-7684,ATLANTIC-GALLOWAY TWP,5,N,N,N,4,11,5,1,4,2,1,5,1,5,1,45,60,N
01-11-2017-2017-00000412,ATLANTIC-GALLOWAY TWP,5,N,N,N,1,13,5,1,,2,2,5,4,5,1,45,22,N
01-11-2017-2017-00038957,ATLANTIC-GALLOWAY TWP,5,N,N,N,1,13,5,1,4,2,1,5,1,5,1,50,22,N
01-11-2017-2017-00011056,ATLANTIC-GALLOWAY TWP,5,Y,N,N,2,7,2,1,4,2,1,1,1,5,1,50,26,N
01-11-2017-2017-00045411,ATLANTIC-GALLOWAY TWP,5,Y,Y,N,1,13,5,1,4,2,1,5,1,5,1,45,22,N
01-11-2017-2017-00032626,ATLANTIC-GALLOWAY TWP,4,N,N,N,4,11,5,1,4,2,1,1,1,5,1,45,52,N
01-12-2017-2017009241,ATLANTIC-HAMILTON TWP,4,N,Y,N,4,4,5,1,4,2,1,1,1,5,1,50,,N
01-12-2017-2017016999,ATLANTIC-HAMILTON TWP,5,N,N,N,2,4,5,1,4,2,1,1,1,5,1,50,26,N
01-12-2017-A160-2017-00723A,ATLANTIC-HAMILTON TWP,5,N,Y,N,7,1,3,1,4,2,1,5,1,1,1,65,26,N
01-12-2017-2017025334,ATLANTIC-HAMILTON TWP,5,N,N,N,4,11,7,1,4,2,1,1,1,5,1,25,60,N
01-12-2017-A160-2017-00437A,ATLANTIC-HAMILTON TWP,4,N,N,N,4,11,3,1,4,2,1,1,1,1,1,65,46,N
01-12-2017-2017049489,ATLANTIC-HAMILTON TWP,4,N,N,N,2,3,5,1,7,2,1,3,1,4,1,50,26,N
01-12-2017-2017049862,ATLANTIC-HAMILTON TWP,5,N,N,N,4,5,2,1,4,2,1,1,1,5,1,50,,N
01-12-2017-A160-2017-00491A,ATLANTIC-HAMILTON TWP,5,N,N,N,4,11,3,1,4,2,1,1,1,3,1,65,57,N
01-12-2017-2017010620,ATLANTIC-HAMILTON TWP,4,N,N,N,2,1,2,1,4,2,1,5,1,5,1,55,26,N
01-12-2017-2017008732,ATLANTIC-HAMILTON TWP,5,Y,N,N,4,11,7,1,4,2,2,7,2,5,1,50,,N
01-12-2017-2017015235,ATLANTIC-HAMILTON TWP,5,N,N,N,7,11,7,2,4,2,1,3,1,5,1,40,56,N
01-12-2017-2017052077,ATLANTIC-HAMILTON TWP,5,N,N,N,2,4,2,1,4,2,1,1,1,5,1,55,,N
01-12-2017-2017033224,ATLANTIC-HAMILTON TWP,4,N,N,N,4,3,2,1,6,2,1,1,1,5,1,50,26,N
01-12-2017-2017002089,ATLANTIC-HAMILTON TWP,5,N,N,N,2,4,2,,,2,2,1,2,5,1,50,,N
01-12-2017-2017038061,ATLANTIC-HAMILTON TWP,4,N,Y,N,4,11,2,2,4,2,1,6,1,1,1,55,,N
01-12-2017-2017017945,ATLANTIC-HAMILTON TWP,4,N,N,N,4,11,2,2,4,2,1,1,1,5,1,30,,N
01-12-2017-2017016971,ATLANTIC-HAMILTON TWP,4,N,N,N,5,14,5,1,0,2,1,1,1,5,1,50,21,N
01-12-2017-A160-2017-00603A,ATLANTIC-HAMILTON TWP,5,N,Y,N,4,11,3,1,4,2,1,5,1,3,1,65,50,N
01-12-2017-A160-2017-00412A,ATLANTIC-HAMILTON TWP,4,N,N,N,3,10,3,1,4,2,1,1,1,3,1,65,1,N
01-12-2017-2017023401,ATLANTIC-HAMILTON TWP,4,N,N,N,4,11,2,1,4,2,1,6,1,1,1,50,,N
01-12-2017-2017010330,ATLANTIC-HAMILTON TWP,4,N,N,N,4,11,5,1,4,2,1,1,1,5,1,50,60,N
01-12-2017-2017017895,ATLANTIC-HAMILTON TWP,5,N,N,N,4,11,7,1,4,2,2,1,2,5,1,40,52,N
01-12-2017-A160-2017-00343A,ATLANTIC-HAMILTON TWP,5,N,Y,N,4,11,3,3,4,2,1,5,1,1,1,65,46,N
01-13-2017-2017-03688,ATLANTIC-HAMMONTON TOWN,4,Y,N,N,2,1,7,1,4,2,1,1,1,5,1,25,26,N
01-13-2017-I-2017-20270,ATLANTIC-HAMMONTON TOWN,5,N,N,N,4,11,2,1,4,2,1,1,1,5,1,40,,N
01-13-2017-I-2017-08781,ATLANTIC-HAMMONTON TOWN,4,N,N,N,2,1,2,1,4,2,1,1,1,5,1,50,26,N
01-13-2017-I-2017-02364,ATLANTIC-HAMMONTON TOWN,4,N,Y,N,4,11,7,1,4,2,1,1,1,5,1,25,60,N
01-13-2017-I-2017-08078,ATLANTIC-HAMMONTON TOWN,4,Y,N,N,2,7,2,1,4,2,2,1,2,5,1,50,26,N
01-14-2017-I-2017-21086,ATLANTIC-LINWOOD CITY,4,N,Y,N,4,11,2,1,4,2,1,1,1,5,1,40,52,N
01-15-2017-I-2017-03964,ATLANTIC-LONGPORT BORO,4,N,N,N,1,13,7,1,4,2,1,1,1,5,1,25,22,N
01-16-2017-17-11650,ATLANTIC-MARGATE CITY,4,N,N,N,2,6,7,1,4,2,2,1,2,5,1,25,28,N
01-17-2017-I-2017-008765,ATLANTIC-MULLICA TWP,5,N,N,N,4,11,5,1,4,2,2,1,1,4,1,50,60,N
01-17-2017-I-2017-008505,ATLANTIC-MULLICA TWP,4,N,N,N,4,3,2,1,4,2,1,1,1,4,1,50,26,N
01-17-2017-I-2017-012811,ATLANTIC-MULLICA TWP,5,N,N,N,7,11,9,1,4,3,0,7,1,5,1,45,58,N
01-17-2017-I-2017-009148,ATLANTIC-MULLICA TWP,5,N,N,N,4,11,5,1,4,2,1,3,1,5,1,45,46,N
01-17-2017-I-2017-006763,ATLANTIC-MULLICA TWP,4,Y,N,N,2,4,2,1,4,2,2,1,2,3,,55,,N
01-17-2017-I-2017-006653,ATLANTIC-MULLICA TWP,4,N,Y,N,4,10,5,2,4,2,1,5,1,4,1,45,11,N
01-19-2017-I-2017-020360,ATLANTIC-PLEASANTVILLE CITY,4,N,N,N,5,14,5,1,4,2,1,3,1,5,1,25,26,N
01-19-2017-I-2017-028723,ATLANTIC-PLEASANTVILLE CITY,5,Y,Y,N,1,13,7,1,4,2,2,6,5,5,1,25,22,N
01-19-2017-I-2017-015208,ATLANTIC-PLEASANTVILLE CITY,4,N,N,N,5,14,5,1,4,2,1,1,1,5,2,25,21,N
